audience_score,id
'0',1
'100',573
'11',1
'12',3
'14',1
'15',1
'17',2
'18',1
'26',1
'30',1
'31',3
'32',3
'33',2
'34',1
'35',1
'37',1
'38',2
'39',1
'40',4
'42',2
'43',1
'44',1
'45',1
'46',2
'49',1
'50',5
'52',1
'53',2
'54',3
'56',1
'57',1
'58',1
'59',2
'60',8
'61',1
'62',2
'63',1
'64',3
'65',2
'66',2
'67',5
'68',1
'69',1
'70',1
'71',6
'72',8
'73',11
'74',11
'75',28
'76',30
'77',22
'78',21
'79',23
'80',38
'81',24
'82',23
'83',60
'84',35
'85',58
'86',93
'87',98
'88',139
'89',126
'9',1
'90',141
'91',129
'92',166
'93',141
'94',130
'95',107
'96',68
'97',59
'98',38
'99',33
