audienceScore,criticsScore,emsId,fallbackPosterUrl,id,isVideo,mediaUrl,mpxId,posterUri,releaseDateText,title,trailerUrl,type
"{'score': '100', 'sentiment': 'positive'}","{'certifiedAttribute': 'criticscertified', 'score': '91', 'sentiment': 'positive'}",cc68d6bb-6d2c-388e-959f-d241b4bad34a,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,cc68d6bb-6d2c-388e-959f-d241b4bad34a,True,/m/raging_fire,1928806467555,https://resizing.flixster.com/_vyksJ9VR-Veuhv9JEYV_bi42Aw=/180x258/v2/https://resizing.flixster.com/-4X5YkKInP3RBB4qhuQ-QOOFudo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA1NDY3MTI1LTFkYzQtNDQ5My1hNGE2LTk3ZWVjMzdmNDE3Zi5qcGc=,"Streaming Nov 23, 2021",Raging Fire,https://player.theplatform.com/p/NGweTC/pdk6_y__7B0iQTi4P/embed/select/media/l3IC5C8m2dBO,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},87a94713-52e0-32f7-9122-a66784618320,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,87a94713-52e0-32f7-9122-a66784618320,True,/m/the_bad_guys_reign_of_chaos,1597427267542,https://resizing.flixster.com/kuKKeXB69fXas6W0TCp99ugGyc0=/180x258/v2/https://resizing.flixster.com/hJ1ldN6VHkQGMLMLlrsq0ULJcBo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q0ZWExMjA3LTYyYWQtNGU0ZS1iNTNiLWZlN2RhZmU0MmY5MC53ZWJw,"Streaming Dec 17, 2019",The Bad Guys: Reign of Chaos,https://player.theplatform.com/p/NGweTC/pdk6_y__7B0iQTi4P/embed/select/media/kQXEAr7Fj6gH,action
"{'score': '100', 'sentiment': 'positive'}","{'certifiedAttribute': '', 'score': '65', 'sentiment': 'positive'}",e7c00004-0f8e-4a9c-b8cc-3d69f0e3c59f,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,e7c00004-0f8e-4a9c-b8cc-3d69f0e3c59f,True,/m/four_samosas,2092099651880,https://resizing.flixster.com/CyOg6AVqeajLQBifGElkJMMito8=/180x258/v2/https://resizing.flixster.com/D8v8ORKAVlebBw3FNjy2uZcrhIA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzE4MzY5NThhLWM4ZWUtNDFkOC1iYzcxLTNhMjZmZGU3ZTRlOC5qcGc=,"Streaming Dec 2, 2022",Four Samosas,https://player.theplatform.com/p/NGweTC/pdk6_y__7B0iQTi4P/embed/select/media/pf4zENyBG058,action
"{'score': '100', 'sentiment': 'positive'}","{'certifiedAttribute': '', 'score': '96', 'sentiment': 'positive'}",4e2abf29-91d0-3c22-8951-53b0c254ad21,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,4e2abf29-91d0-3c22-8951-53b0c254ad21,True,/m/the_roundup_2022,2057835075998,https://resizing.flixster.com/SPhgBaChx9b0SDZ9kI5B41f9Vsk=/180x258/v2/https://resizing.flixster.com/R9N9qOoZaH2KA0cUWSc5aLwGmw4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q1NDc3OTUwLWY3ODEtNDUwMy04NTkyLTFjYWEyZTU0NDM5Ny5qcGc=,"Streaming Aug 9, 2022",The Roundup,https://player.theplatform.com/p/NGweTC/pdk6_y__7B0iQTi4P/embed/select/media/fT87zV4hUej5,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},d1e95e07-bcbe-35bc-8044-77837eb69ddc,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,d1e95e07-bcbe-35bc-8044-77837eb69ddc,False,/m/flukt_2012,None,https://resizing.flixster.com/Th5yVZlj8JlIBzCj5l10901Hl_8=/180x258/v2/https://flxt.tmsimg.com/assets/p9920405_p_v8_ad.jpg,"Streaming Nov 4, 2013",Escape,None,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},4fb4f0e9-34c3-3eaf-9fe6-de1e74806c1e,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,4fb4f0e9-34c3-3eaf-9fe6-de1e74806c1e,False,/m/who_killed_captain_alex,None,https://resizing.flixster.com/ZaNU1gaewUahwK274za6Tn_uSsA=/180x258/v2/https://flxt.tmsimg.com/assets/p12555741_p_v8_aa.jpg,"Streaming Oct 21, 2019",Who Killed Captain Alex?,None,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},758035f7-32ed-3f8b-9035-9cde278399ac,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,758035f7-32ed-3f8b-9035-9cde278399ac,False,/m/house_of_cards_2012,None,https://resizing.flixster.com/whqNYSB0769mOopgAGJ5p5KcXjU=/180x258/v2/https://flxt.tmsimg.com/assets/p10780146_p_v8_ab.jpg,"Streaming Nov 18, 2016",House of Cards,None,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},5d7b8387-54d7-3f02-b744-1362037ba9ca,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,5d7b8387-54d7-3f02-b744-1362037ba9ca,False,/m/el_dorado_city_of_gold,None,https://resizing.flixster.com/FnrGgtKmEIit9za_MntmIqxh1WU=/180x258/v2/https://flxt.tmsimg.com/assets/p11185657_p_v8_ad.jpg,"Streaming Jul 1, 2019",El Dorado: City of Gold,None,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},7669265d-c402-3fb0-b553-7567c6f04b26,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,7669265d-c402-3fb0-b553-7567c6f04b26,False,/m/ghost_in_the_shell_the_new_movie_2015,None,https://resizing.flixster.com/J9tqOgx1KTNG-CIY9DiHZ-_t3q0=/180x258/v2/https://flxt.tmsimg.com/assets/p12220653_p_v8_aa.jpg,"Streaming Aug 10, 2016",Ghost in the Shell: The New Movie,None,action
"{'score': '100', 'sentiment': 'positive'}",{'certifiedAttribute': ''},c71f0993-b214-3cf8-8c87-66824ecd1918,//images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,c71f0993-b214-3cf8-8c87-66824ecd1918,False,/m/commando_mengele_1987,None,https://resizing.flixster.com/IRw6EQOHajhpeRLJNxenFepmfIA=/180x258/v2/https://flxt.tmsimg.com/assets/p21505_p_v8_aa.jpg,"Streaming Jan 19, 2018",Angel of Death,None,action
