,month_type,counts
0,Apr_action,14
1,Apr_adventure,9
2,Apr_animation,9
3,Apr_anime,12
4,Apr_biography,14
5,Apr_comedy,14
6,Apr_crime,12
7,Apr_documentary,17
8,Apr_drama,12
9,Apr_fantasy,2
10,Apr_history,11
11,Apr_holiday,5
12,Apr_horror,8
13,Apr_kids_and_family,3
14,Apr_lgbtq,12
15,Apr_music,8
16,Apr_musical,13
17,Apr_mystery_and_thriller,6
18,Apr_nature,4
19,Apr_romance,6
20,Apr_sci_fi,13
21,Apr_short,1
22,Apr_special_interest,1
23,Apr_stand_up,10
24,Apr_war,12
25,Apr_western,11
26,Aug_action,18
27,Aug_adventure,10
28,Aug_animation,9
29,Aug_anime,8
30,Aug_biography,14
31,Aug_comedy,12
32,Aug_crime,17
33,Aug_documentary,10
34,Aug_drama,5
35,Aug_fantasy,8
36,Aug_history,7
37,Aug_holiday,3
38,Aug_horror,13
39,Aug_kids_and_family,5
40,Aug_lgbtq,10
41,Aug_music,10
42,Aug_musical,10
43,Aug_mystery_and_thriller,3
44,Aug_romance,2
45,Aug_sci_fi,4
46,Aug_sports,4
47,Aug_stand_up,12
48,Aug_war,2
49,Aug_western,13
50,Dec_action,11
51,Dec_adventure,16
52,Dec_animation,6
53,Dec_anime,21
54,Dec_biography,6
55,Dec_comedy,4
56,Dec_crime,8
57,Dec_documentary,15
58,Dec_drama,4
59,Dec_fantasy,2
60,Dec_history,7
61,Dec_holiday,27
62,Dec_horror,4
63,Dec_kids_and_family,5
64,Dec_lgbtq,8
65,Dec_music,13
66,Dec_musical,7
67,Dec_mystery_and_thriller,3
68,Dec_nature,1
69,Dec_romance,6
70,Dec_sci_fi,4
71,Dec_short,2
72,Dec_sports,3
73,Dec_stand_up,16
74,Dec_variety,4
75,Dec_war,7
76,Dec_western,6
77,Feb_action,2
78,Feb_adventure,7
79,Feb_animation,10
80,Feb_anime,15
81,Feb_biography,12
82,Feb_comedy,8
83,Feb_crime,7
84,Feb_documentary,6
85,Feb_drama,5
86,Feb_fantasy,1
87,Feb_history,3
88,Feb_holiday,5
89,Feb_horror,6
90,Feb_lgbtq,10
91,Feb_music,4
92,Feb_musical,6
93,Feb_mystery_and_thriller,6
94,Feb_nature,2
95,Feb_romance,3
96,Feb_sci_fi,3
97,Feb_sports,9
98,Feb_stand_up,8
99,Feb_war,2
100,Feb_western,6
101,Jan_action,14
102,Jan_adventure,9
103,Jan_animation,10
104,Jan_anime,19
105,Jan_biography,8
106,Jan_comedy,16
107,Jan_crime,9
108,Jan_documentary,13
109,Jan_drama,15
110,Jan_fantasy,7
111,Jan_history,14
112,Jan_holiday,11
113,Jan_horror,10
114,Jan_kids_and_family,10
115,Jan_lgbtq,16
116,Jan_music,7
117,Jan_musical,9
118,Jan_mystery_and_thriller,6
119,Jan_nature,3
120,Jan_romance,5
121,Jan_sci_fi,4
122,Jan_short,2
123,Jan_sports,1
124,Jan_stand_up,7
125,Jan_war,10
126,Jan_western,21
127,Jul_action,14
128,Jul_adventure,6
129,Jul_animation,3
130,Jul_anime,9
131,Jul_biography,7
132,Jul_comedy,8
133,Jul_crime,8
134,Jul_documentary,10
135,Jul_drama,7
136,Jul_fantasy,5
137,Jul_history,8
138,Jul_holiday,6
