id,primary_type
3765826,纪录片
26236632,纪录片
27615467,传记
3442220,纪录片
4167113,纪录片
25978207,爱情
26602234,纪录片
35185752,纪录片
10741871,传记
4073872,纪录片
7015798,纪录片
24867845,纪录片
3018123,纪录片
3443389,纪录片
6129689,纪录片
30322776,纪录片
30330264,纪录片
26764928,纪录片
2123440,传记
1292281,纪录片
1293172,剧情
1296736,剧情
1849031,剧情
1303913,剧情
1305487,传记
1306029,传记
1294408,剧情
26387939,剧情
25938803,剧情
27060077,剧情
1294639,动作
1291822,剧情
26615208,剧情
3097352,剧情
10463953,剧情
1793929,剧情
1300572,剧情
1309115,剧情
25954475,剧情
6981153,剧情
1292052,犯罪
1296141,剧情
1295644,剧情
1307914,剧情
1291841,剧情
1299131,剧情
1851857,剧情
1292262,犯罪
1293350,剧情
5294851,剧情
1300992,剧情
4860078,剧情
1294240,剧情
1292208,犯罪
1295873,犯罪
1293544,剧情
1291832,剧情
1300299,剧情
1308857,剧情
1295124,剧情
1461403,剧情
1464526,剧情
1292365,剧情
1300267,剧情
1303067,剧情
1298944,剧情
10450409,剧情
1294194,剧情
1293909,剧情
3993559,剧情
6393127,剧情
1424552,剧情
26325320,剧情
1303967,剧情
1291552,剧情
1291572,剧情
1295399,动作
1291571,剧情
1291843,动作
3742360,剧情
1292000,剧情
1291543,动作
1652587,动作
1291936,动作
1298070,动作
1295409,剧情
3395373,剧情
6307447,剧情
1302467,动作
1578507,动作
1292402,剧情
1828115,剧情
25977027,剧情
1301582,剧情
1291868,剧情
1296778,剧情
1291856,剧情
1303053,剧情
1300275,剧情
6827727,剧情
10792650,剧情
1295460,喜剧
1296992,剧情
1309029,剧情
1394424,剧情
1292341,剧情
1296463,剧情
1874704,喜剧
1291558,剧情
1305456,剧情
3793023,剧情
1301753,动画
1293460,喜剧
1787291,剧情
1307697,喜剧
30484534,剧情
1301169,剧情
6860160,剧情
24877005,剧情
24857754,歌舞
27666513,歌舞
1297995,喜剧
25928148,剧情
26952704,剧情
1310178,动画
25934014,剧情
4202982,喜剧
1297756,爱情
1296282,剧情
1303021,剧情
1418076,剧情
4848115,剧情
2363506,剧情
1292925,剧情
1291579,儿童
1301811,剧情
26787574,剧情
2132220,剧情
3157605,儿童
1292056,剧情
1299103,剧情
1394488,儿童
10467774,剧情
11502154,动画
21359690,剧情
1297102,儿童
1467748,剧情
5360889,剧情
3541415,剧情
1900841,剧情
1865703,动画
1293181,悬疑
1304920,剧情
2334904,剧情
1292343,剧情
1780330,剧情
1297630,剧情
1300374,犯罪
1397546,犯罪
26580232,剧情
1292223,剧情
1297192,剧情
4268598,剧情
1309055,悬疑
1291546,剧情
1292063,剧情
1292720,剧情
1292722,剧情
1291561,剧情
1889243,剧情
1292064,剧情
3011091,剧情
5912992,剧情
1418019,剧情
1293182,剧情
1292001,剧情
5450891,剧情
25986180,动作
1308779,科幻
6011805,剧情
1293013,动作
3005875,科幻
26266893,科幻
3793783,科幻
26718828,剧情
3596502,剧情
1310175,悬疑
10598440,动作
4832825,剧情
1292769,科幻
30210691,喜剧
1478064,剧情
10746175,动作
20443013,动作
1292213,喜剧
1294371,剧情
1291828,剧情
3319755,剧情
1293839,喜剧
1293908,喜剧
1292434,剧情
1297880,剧情
1299398,喜剧
1292679,剧情
1485260,剧情
1291549,剧情
20495023,喜剧
20326557,剧情
24733428,动画
25773932,剧情
1293399,剧情
5300054,剧情
6874403,喜剧
3007773,剧情
35048413,剧情
1308086,传记
1292048,剧情
1310179,动画
1294565,喜剧
1900840,剧情
1898223,剧情
2131459,科幻
25958717,剧情
25662329,喜剧
1291560,动画
1295038,奇幻
1291583,动画
1307315,冒险
1929463,剧情
2129039,剧情
1308807,动画
3011235,奇幻
1401118,冒险
11525673,剧情
1428581,动画
1293749,剧情
1395091,动画
1291544,奇幻
25964630,剧情
1291566,剧情
27040774,剧情
1292226,科幻
1291844,动作
1300117,剧情
4920389,动作
11026735,喜剧
3217169,剧情
6803494,剧情
3552028,剧情
1309016,剧情
1294753,传记
1418519,剧情
1295742,剧情
1299062,剧情
6538866,剧情
1309017,剧情
1449711,传记
1457219,剧情
25761178,剧情
1292943,剧情
1972729,剧情
3882427,剧情
1293155,剧情
3023164,剧情
1307535,剧情
1291992,犯罪
1417598,悬疑
1292547,犯罪
1292225,恐怖
1309045,悬疑
3011308,悬疑
1306809,动作
1303083,剧情
1301459,剧情
1300868,恐怖
30234315,喜剧
10485526,惊悚
1299765,喜剧
1302393,喜剧
1293852,剧情
1474189,悬疑
1418752,剧情
