id,score
3765826,9.7
26236632,9.5
27615467,9.4
3442220,9.3
4167113,9.7
25978207,9.3
26602234,9.4
35185752,9.3
10741871,9.3
4073872,9.2
7015798,9.2
24867845,9.3
3018123,9.2
3443389,9.1
6129689,9.3
30322776,9.6
30330264,9.4
26764928,9.1
2123440,9.4
1292281,9.1
1293172,9.3
1296736,9.3
1849031,9.2
1303913,9.3
1305487,9.1
1306029,9.1
1294408,9.1
26387939,9.0
25938803,9.1
27060077,8.9
1294639,8.9
1291822,8.9
26615208,8.9
3097352,9.2
10463953,8.8
1793929,8.8
1300572,8.9
1309115,8.9
25954475,8.8
6981153,8.8
1292052,9.7
1296141,9.6
1295644,9.4
1307914,9.3
1291841,9.3
1299131,9.3
1851857,9.2
1292262,9.2
1293350,9.1
5294851,9.4
1300992,9.1
4860078,9.2
1294240,9.0
1292208,9.0
1295873,9.1
1293544,8.9
1291832,8.9
1300299,8.9
1308857,8.9
1295124,9.6
1461403,9.5
1464526,9.4
1292365,9.3
1300267,9.3
1303067,9.1
1298944,9.2
10450409,8.9
1294194,8.9
1293909,9.1
3993559,8.8
6393127,8.8
1424552,9.0
26325320,8.7
1303967,8.8
1291552,9.3
1291572,9.2
1295399,9.3
1291571,9.1
1291843,9.1
3742360,9.0
1292000,9.0
1291543,8.8
1652587,8.8
1291936,9.1
1298070,8.8
1295409,8.8
3395373,8.8
6307447,8.8
1302467,8.8
1578507,8.8
1292402,8.9
1828115,8.6
25977027,8.5
1301582,8.4
1291868,8.2
1296778,8.2
1291856,8.1
1303053,8.1
1300275,8.0
6827727,7.9
10792650,7.9
1295460,8.0
1296992,7.8
1309029,7.7
1394424,7.7
1292341,7.7
1296463,7.6
1874704,8.1
1291558,7.6
1305456,7.6
3793023,9.2
1301753,9.1
1293460,9.1
1787291,8.9
1307697,8.9
30484534,9.2
1301169,8.8
6860160,8.7
24877005,9.6
24857754,9.3
27666513,9.5
1297995,8.5
25928148,9.4
26952704,8.5
1310178,8.7
25934014,8.4
4202982,8.4
1297756,8.4
1296282,8.9
1303021,9.2
1418076,9.2
4848115,8.9
2363506,8.9
1292925,8.9
1291579,8.8
1301811,9.1
26787574,8.6
2132220,8.6
3157605,8.6
1292056,8.6
1299103,8.7
1394488,8.6
10467774,8.5
11502154,8.6
21359690,8.6
1297102,8.4
1467748,8.8
5360889,8.4
3541415,9.4
1900841,9.2
1865703,9.1
1293181,9.0
1304920,9.4
2334904,8.9
1292343,8.9
1780330,8.9
1297630,8.9
1300374,8.9
1397546,8.9
26580232,8.8
1292223,8.8
1297192,8.8
4268598,8.8
1309055,8.8
1291546,9.6
1292063,9.6
1292720,9.5
1292722,9.5
1291561,9.4
1889243,9.4
1292064,9.4
3011091,9.4
5912992,9.4
1418019,9.4
1293182,9.4
1292001,9.3
5450891,9.4
25986180,8.6
1308779,8.3
6011805,8.1
1293013,8.1
3005875,8.0
26266893,7.9
3793783,7.9
26718828,8.3
3596502,7.8
1310175,8.1
10598440,7.6
4832825,7.8
1292769,7.8
