,type_audience_score,counts
0,action_'100',28
1,action_'91',12
2,action_'92',26
3,action_'93',20
4,action_'94',19
5,action_'95',14
6,action_'96',11
7,action_'97',8
8,action_'98',6
9,action_'99',5
10,action_nan,1
11,adventure_'100',24
12,adventure_'91',2
13,adventure_'92',13
14,adventure_'93',12
15,adventure_'94',18
16,adventure_'95',16
17,adventure_'96',6
18,adventure_'97',2
19,adventure_'98',3
20,adventure_'99',3
21,adventure_nan,1
22,animation_'100',11
23,animation_'88',23
24,animation_'89',18
25,animation_'90',21
26,animation_'91',11
27,animation_'92',10
28,animation_'93',3
29,animation_'94',4
30,animation_'95',1
31,animation_'96',1
32,anime_'100',3
33,anime_'74',3
34,anime_'75',10
35,anime_'76',8
36,anime_'77',8
37,anime_'78',4
38,anime_'79',9
39,anime_'80',6
40,anime_'81',4
41,anime_'82',6
42,anime_'83',5
43,anime_'84',3
44,anime_'85',8
45,anime_'86',5
46,anime_'87',6
47,anime_'88',12
48,anime_'89',7
49,anime_'90',9
50,anime_'91',5
51,anime_'92',2
52,anime_'93',2
53,anime_'94',4
54,anime_'95',2
55,anime_'96',3
56,anime_'97',1
57,biography_'100',46
58,biography_'91',15
59,biography_'92',17
60,biography_'93',18
61,biography_'94',13
62,biography_'95',11
63,biography_'96',6
64,biography_'97',7
65,biography_'98',8
66,biography_'99',2
67,comedy_'100',126
68,comedy_nan,2
69,crime_'100',17
70,crime_'90',10
71,crime_'91',16
72,crime_'92',18
73,crime_'93',13
74,crime_'94',12
75,crime_'95',9
76,crime_'96',8
77,crime_'97',10
78,crime_'98',6
79,crime_'99',4
80,documentary_'100',126
81,documentary_'91',1
82,documentary_nan,1
83,drama_'100',96
84,entertainment_'73',1
85,faith_and_spirituality_'100',1
86,fantasy_'100',3
87,fantasy_'89',10
88,fantasy_'90',17
89,fantasy_'91',8
90,fantasy_'92',7
91,fantasy_'93',4
92,fantasy_'94',3
93,fantasy_'95',3
94,fantasy_'98',1
95,fantasy_'99',2
96,game_show_'60',1
97,health_and_wellness_'81',1
