,type_month,counts
0,action_Apr,14
1,action_Aug,18
2,action_Dec,11
3,action_Feb,2
4,action_Jan,14
5,action_Jul,14
6,action_Jun,10
7,action_Mar,15
8,action_May,9
9,action_Nov,17
10,action_Oct,11
11,action_Sep,15
12,adventure_Apr,9
13,adventure_Aug,10
14,adventure_Dec,16
15,adventure_Feb,7
16,adventure_Jan,9
17,adventure_Jul,6
18,adventure_Jun,7
19,adventure_Mar,12
20,adventure_May,3
21,adventure_Nov,11
22,adventure_Oct,4
23,adventure_Sep,6
24,animation_Apr,9
25,animation_Aug,9
26,animation_Dec,6
27,animation_Feb,10
28,animation_Jan,10
29,animation_Jul,3
30,animation_Jun,3
31,animation_Mar,12
32,animation_May,11
33,animation_Nov,18
34,animation_Oct,5
35,animation_Sep,7
36,anime_Apr,12
37,anime_Aug,8
38,anime_Dec,21
39,anime_Feb,15
40,anime_Jan,19
41,anime_Jul,9
42,anime_Jun,8
43,anime_Mar,9
44,anime_May,8
45,anime_Nov,14
46,anime_Oct,7
47,anime_Sep,5
48,biography_Apr,14
49,biography_Aug,14
50,biography_Dec,6
51,biography_Feb,12
52,biography_Jan,8
53,biography_Jul,7
54,biography_Jun,7
55,biography_Mar,17
56,biography_May,10
57,biography_Nov,26
58,biography_Oct,11
59,biography_Sep,11
60,comedy_Apr,14
61,comedy_Aug,12
62,comedy_Dec,4
63,comedy_Feb,8
64,comedy_Jan,16
65,comedy_Jul,8
66,comedy_Jun,10
67,comedy_Mar,8
68,comedy_May,9
69,comedy_Nov,18
70,comedy_Oct,12
71,comedy_Sep,9
72,crime_Apr,12
73,crime_Aug,17
74,crime_Dec,8
75,crime_Feb,7
76,crime_Jan,9
77,crime_Jul,8
78,crime_Jun,7
79,crime_Mar,12
80,crime_May,7
81,crime_Nov,16
82,crime_Oct,12
83,crime_Sep,8
84,documentary_Apr,17
85,documentary_Aug,10
86,documentary_Dec,15
87,documentary_Feb,6
88,documentary_Jan,13
89,documentary_Jul,10
90,documentary_Jun,8
91,documentary_Mar,12
92,documentary_May,7
93,documentary_Nov,15
94,documentary_Oct,8
95,documentary_Sep,7
96,drama_Apr,12
97,drama_Aug,5
98,drama_Dec,4
99,drama_Feb,5
100,drama_Jan,15
101,drama_Jul,7
102,drama_Jun,4
103,drama_Mar,10
104,drama_May,11
105,drama_Nov,10
106,drama_Oct,10
107,drama_Sep,3
108,entertainment_Jun,1
109,faith_and_spirituality_Mar,1
110,fantasy_Apr,2
111,fantasy_Aug,8
112,fantasy_Dec,2
113,fantasy_Feb,1
114,fantasy_Jan,7
115,fantasy_Jul,5
116,fantasy_Jun,5
117,fantasy_Mar,4
118,fantasy_May,8
119,fantasy_Nov,6
120,fantasy_Oct,4
121,fantasy_Sep,6
122,game_show_Nov,1
123,health_and_wellness_Jun,1
124,health_and_wellness_May,1
125,health_and_wellness_Sep,1
126,history_Apr,11
127,history_Aug,7
128,history_Dec,7
129,history_Feb,3
130,history_Jan,14
131,history_Jul,8
132,history_Jun,2
133,history_Mar,16
134,history_May,8
135,history_Nov,7
136,history_Oct,9
137,history_Sep,7
138,holiday_Apr,5
139,holiday_Aug,3
140,holiday_Dec,27
141,holiday_Feb,5
142,holiday_Jan,11
143,holiday_Jul,6
144,holiday_Jun,3
145,holiday_Mar,11
146,holiday_May,3
147,holiday_Nov,40
148,holiday_Oct,15
149,holiday_Sep,8
150,horror_Apr,8
151,horror_Aug,13
152,horror_Dec,4
153,horror_Feb,6
154,horror_Jan,10
155,horror_Jul,7
156,horror_Jun,7
157,horror_Mar,9
158,horror_May,10
159,horror_Nov,14
160,horror_Oct,25
161,horror_Sep,8
162,kids_and_family_Apr,3
163,kids_and_family_Aug,5
164,kids_and_family_Dec,5
165,kids_and_family_Jan,10
166,kids_and_family_Jul,1
167,kids_and_family_Jun,1
168,kids_and_family_Mar,6
169,kids_and_family_May,1
170,kids_and_family_Nov,8
171,kids_and_family_Oct,4
172,kids_and_family_Sep,3
173,lgbtq_Apr,12
174,lgbtq_Aug,10
175,lgbtq_Dec,8
176,lgbtq_Feb,10
177,lgbtq_Jan,16
178,lgbtq_Jul,8
179,lgbtq_Jun,11
180,lgbtq_Mar,11
181,lgbtq_May,14
182,lgbtq_Nov,16
183,lgbtq_Oct,8
184,lgbtq_Sep,11
185,music_Apr,8
186,music_Aug,10
187,music_Dec,13
188,music_Feb,4
189,music_Jan,7
190,music_Jul,7
191,music_Jun,9
192,music_Mar,13
193,music_May,4
194,music_Nov,9
195,music_Oct,11
196,music_Sep,9
197,musical_Apr,13
198,musical_Aug,10
199,musical_Dec,7
200,musical_Feb,6
201,musical_Jan,9
202,musical_Jul,10
203,musical_Jun,3
204,musical_Mar,11
205,musical_May,7
206,musical_Nov,19
207,musical_Oct,7
208,musical_Sep,6
209,mystery_and_thriller_Apr,6
210,mystery_and_thriller_Aug,3
211,mystery_and_thriller_Dec,3
212,mystery_and_thriller_Feb,6
213,mystery_and_thriller_Jan,6
214,mystery_and_thriller_Jul,1
215,mystery_and_thriller_Jun,4
216,mystery_and_thriller_Mar,11
217,mystery_and_thriller_May,5
218,mystery_and_thriller_Nov,11
219,mystery_and_thriller_Oct,3
220,mystery_and_thriller_Sep,8
221,nature_Apr,4
222,nature_Dec,1
223,nature_Feb,2
224,nature_Jan,3
225,nature_Jul,1
226,nature_Jun,2
227,nature_Mar,2
228,nature_Nov,1
229,reality_Oct,1
230,romance_Apr,6
231,romance_Aug,2
232,romance_Dec,6
233,romance_Feb,3
234,romance_Jan,5
235,romance_Jul,3
236,romance_Jun,5
237,romance_Mar,14
238,romance_May,7
239,romance_Nov,10
240,romance_Oct,10
241,romance_Sep,5
242,sci_fi_Apr,13
243,sci_fi_Aug,4
244,sci_fi_Dec,4
245,sci_fi_Feb,3
246,sci_fi_Jan,4
247,sci_fi_Jul,10
248,sci_fi_Jun,5
249,sci_fi_Mar,9
250,sci_fi_May,8
251,sci_fi_Nov,4
252,sci_fi_Oct,5
253,sci_fi_Sep,2
254,short_Apr,1
255,short_Dec,2
256,short_Jan,2
257,short_Mar,1
258,short_Nov,2
259,short_Oct,1
260,short_Sep,1
261,special_interest_Apr,1
262,special_interest_Mar,1
263,special_interest_May,1
264,special_interest_Nov,1
265,sports_Aug,4
266,sports_Dec,3
267,sports_Feb,9
268,sports_Jan,1
269,sports_Jul,5
270,sports_Jun,4
271,sports_Mar,4
272,sports_May,4
273,sports_Nov,11
274,sports_Oct,4
275,sports_Sep,3
276,stand_up_Apr,10
277,stand_up_Aug,12
278,stand_up_Dec,16
279,stand_up_Feb,8
280,stand_up_Jan,7
281,stand_up_Jul,8
282,stand_up_Jun,10
283,stand_up_Mar,11
284,stand_up_May,16
285,stand_up_Nov,15
286,stand_up_Oct,18
287,stand_up_Sep,9
288,variety_Dec,4
289,variety_Jun,1
290,variety_Nov,1
291,variety_Oct,1
292,war_Apr,12
293,war_Aug,2
294,war_Dec,7
295,war_Feb,2
296,war_Jan,10
297,war_Jul,2
298,war_Jun,7
299,war_Mar,14
300,war_May,11
301,war_Nov,14
302,war_Oct,5
303,war_Sep,10
304,western_Apr,11
305,western_Aug,13
306,western_Dec,6
307,western_Feb,6
308,western_Jan,21
309,western_Jul,8
310,western_Jun,12
311,western_Mar,8
312,western_May,10
313,western_Nov,19
314,western_Oct,15
315,western_Sep,13
