actor_count,actors,id,rank,rating,regions,release_date,score,title,types,vote_count,month,primary_type
1,['普洁'],3765826,1,"['9.7', '50']",['日本'],2006-06-03,9.7,蒙古草原，天气晴,['纪录片'],38125,06,纪录片
2,"['韦绍兰', '罗善学']",26236632,2,"['9.5', '50']",['中国大陆'],2014-03-30,9.5,三十二,['纪录片'],71706,03,纪录片
11,"['鲁斯·巴德·金斯伯格', '比尔·克林顿', '奥林·G·哈奇', '拉什·林博', '安东宁·斯卡利亚', '格洛丽亚·斯泰纳姆', '妮娜·托滕贝格', '乔治·W· 布什', '巴拉克·奥巴马', '唐纳德·特朗普', '西奥多·奥尔森']",27615467,3,"['9.4', '50']",['美国'],2018-01-21,9.4,大法官金斯伯格,"['传记', '纪录片']",67390,01,传记
7,"['路易·西霍尤斯', 'Hayato Sakurai', 'Mandy-Rae Cruikshank', 'Kirk Krack', '伊莎贝尔·卢卡斯', '海顿·潘妮蒂尔', 'John Chisholm']",3442220,4,"['9.3', '50']",['美国'],2009-07-31,9.3,海豚湾,['纪录片'],346799,07,纪录片
4,"['久石让', '大桥望美', '高畑勋', '宫崎骏']",4167113,5,"['9.7', '50']",['日本'],2008-08-05,9.7,久石让在武道馆：与宫崎骏动画一同走过的25年,"['纪录片', '音乐']",14002,08,纪录片
0,[],25978207,6,"['9.3', '50']",['韩国'],2014-11-27,9.3,亲爱的，不要跨过那条江,"['爱情', '纪录片', '家庭']",54214,11,爱情
4,"['金士杰', '张艾嘉', '蔡灿得', '贾静雯']",26602234,7,"['9.4', '50']",['中国台湾'],2015-12-11,9.4,冲天,['纪录片'],14831,12,纪录片
1,['克雷格·福斯特'],35185752,8,"['9.3', '50']",['南非'],2020-09-07,9.3,我的章鱼老师,['纪录片'],39847,09,纪录片
3,"['塞巴斯蒂昂·萨尔加多', '维姆·文德斯', '朱利安·诺里贝罗·萨尔加多']",10741871,9,"['9.3', '50']","['法国', '意大利', '巴西']",2014-10-15,9.3,地球之盐,"['传记', '纪录片']",38120,10,传记
1,['唐小雁'],4073872,10,"['9.2', '45']",['中国大陆'],2009,9.2,算命,['纪录片'],37987,,纪录片
3,"['罗德里格斯', '马利克·本德杰鲁', 'Steve Rowland']",7015798,11,"['9.2', '45']","['英国', '瑞典', '芬兰']",2012-07-26,9.2,寻找小糖人,"['纪录片', '音乐', '传记']",58053,07,纪录片
0,[],24867845,12,"['9.3', '50']",['中国大陆'],2013,9.3,乡村里的中国,['纪录片'],17071,,纪录片
4,"['扬·阿尔蒂斯-贝特朗', '格伦·克洛斯', '雅克·冈布兰', '周迅']",3018123,13,"['9.2', '45']",['法国'],2009-06-05,9.2,家园,['纪录片'],49186,06,纪录片
9,"['皮尔斯·布鲁斯南', '小佩德罗·阿门达里斯', '雅克·贝汉', '宫泽理惠', '马蒂亚斯·勃兰特', '阿尔多', '兰斯洛特·佩林', 'Manolo Garcia', '姜文']",3443389,14,"['9.1', '45']","['法国', '瑞士', '西班牙', '美国', '阿联酋', '摩纳哥']",2011-08-12,9.1,海洋,['纪录片'],153120,08,纪录片
0,[],6129689,15,"['9.3', '50']",['中国大陆'],2011-06-01,9.3,冰血长津湖,['纪录片'],15310,06,纪录片
0,[],30322776,16,"['9.6', '50']",['英国'],2019-06-04,9.6,人生七年9,['纪录片'],12686,06,纪录片
3,"['约翰·切斯特', '茉莉·切斯特', '博登·切斯特']",30330264,17,"['9.4', '50']",['美国'],2018-09-01,9.4,最大的小小农场,['纪录片'],18763,09,纪录片
3,"['阿涅斯·瓦尔达', '让·热内', '让-吕克·戈达尔']",26764928,18,"['9.1', '45']",['法国'],2017-05-19,9.1,脸庞，村庄,['纪录片'],80424,05,纪录片
1,['Tony Walker'],2123440,19,"['9.4', '50']",['英国'],1970-12-15,9.4,人生七年2,"['传记', '纪录片']",17955,12,传记
2,"['雅克·贝汉', '菲利普·拉布罗']",1292281,20,"['9.1', '45']","['法国', '德国', '意大利', '西班牙', '瑞士']",2001-12-12,9.1,迁徙的鸟,['纪录片'],71717,12,纪录片
1,['普洁'],3765826,1,"['9.7', '50']",['日本'],2006-06-03,9.7,蒙古草原，天气晴,['纪录片'],38125,06,纪录片
2,"['韦绍兰', '罗善学']",26236632,2,"['9.5', '50']",['中国大陆'],2014-03-30,9.5,三十二,['纪录片'],71706,03,纪录片
11,"['鲁斯·巴德·金斯伯格', '比尔·克林顿', '奥林·G·哈奇', '拉什·林博', '安东宁·斯卡利亚', '格洛丽亚·斯泰纳姆', '妮娜·托滕贝格', '乔治·W· 布什', '巴拉克·奥巴马', '唐纳德·特朗普', '西奥多·奥尔森']",27615467,3,"['9.4', '50']",['美国'],2018-01-21,9.4,大法官金斯伯格,"['传记', '纪录片']",67390,01,传记
7,"['路易·西霍尤斯', 'Hayato Sakurai', 'Mandy-Rae Cruikshank', 'Kirk Krack', '伊莎贝尔·卢卡斯', '海顿·潘妮蒂尔', 'John Chisholm']",3442220,4,"['9.3', '50']",['美国'],2009-07-31,9.3,海豚湾,['纪录片'],346799,07,纪录片
4,"['久石让', '大桥望美', '高畑勋', '宫崎骏']",4167113,5,"['9.7', '50']",['日本'],2008-08-05,9.7,久石让在武道馆：与宫崎骏动画一同走过的25年,"['纪录片', '音乐']",14002,08,纪录片
0,[],25978207,6,"['9.3', '50']",['韩国'],2014-11-27,9.3,亲爱的，不要跨过那条江,"['爱情', '纪录片', '家庭']",54214,11,爱情
4,"['金士杰', '张艾嘉', '蔡灿得', '贾静雯']",26602234,7,"['9.4', '50']",['中国台湾'],2015-12-11,9.4,冲天,['纪录片'],14831,12,纪录片
