id,releaseDateText,title,type,month,audience_score,critics_score
cc68d6bb-6d2c-388e-959f-d241b4bad34a,"Streaming Nov 23, 2021",Raging Fire,action,Nov,'100', '91'
87a94713-52e0-32f7-9122-a66784618320,"Streaming Dec 17, 2019",The Bad Guys: Reign of Chaos,action,Dec,'100',
e7c00004-0f8e-4a9c-b8cc-3d69f0e3c59f,"Streaming Dec 2, 2022",Four Samosas,action,Dec,'100', '65'
4e2abf29-91d0-3c22-8951-53b0c254ad21,"Streaming Aug 9, 2022",The Roundup,action,Aug,'100', '96'
d1e95e07-bcbe-35bc-8044-77837eb69ddc,"Streaming Nov 4, 2013",Escape,action,Nov,'100',
4fb4f0e9-34c3-3eaf-9fe6-de1e74806c1e,"Streaming Oct 21, 2019",Who Killed Captain Alex?,action,Oct,'100',
758035f7-32ed-3f8b-9035-9cde278399ac,"Streaming Nov 18, 2016",House of Cards,action,Nov,'100',
5d7b8387-54d7-3f02-b744-1362037ba9ca,"Streaming Jul 1, 2019",El Dorado: City of Gold,action,Jul,'100',
7669265d-c402-3fb0-b553-7567c6f04b26,"Streaming Aug 10, 2016",Ghost in the Shell: The New Movie,action,Aug,'100',
c71f0993-b214-3cf8-8c87-66824ecd1918,"Streaming Jan 19, 2018",Angel of Death,action,Jan,'100',
11bd430c-974c-3bbc-bfa2-9b41680c9a82,"Streaming Apr 3, 2016",Dead Heist,action,Apr,'100',
b049f7bd-adf8-48f2-bc01-f820d5147aa8,"Streaming Apr 27, 2020",Boris and the Bomb,action,Apr,'100',
204020e0-6720-3d6a-84ca-efd75989e82e,"Streaming Nov 2, 2021",Iron Temple,action,Nov,'100',
06471d20-f515-3cb2-8213-f9a79f9f67d5,"Streaming May 23, 2017",Hunter,action,May,'100',
ec936d7d-28eb-3c43-a11d-2e4d76e876d2,"Streaming Aug 11, 2017",3 Dev Adam,action,Aug,'100',
5aeeaf97-8a6a-35ae-b22d-1a15e88e2fa8,"Streaming May 23, 2019",FP2: Beats of Rage,action,May,'100', '67'
9e2c3ab7-2e77-3372-aa1d-8beaf52933d9,"Streaming Sep 24, 2017",Finding Hope Now,action,Sep,'100',
ef83233f-4ecb-3505-a559-74e13d7954f1,"Streaming Oct 18, 2017",The Akron Holy War,action,Oct,'100',
b841367f-024a-3b71-9b41-5986a824ff82,"Streaming Sep 28, 2021",Revenge,action,Sep,'100',
6eaeb69f-7130-3b7c-b78d-91431a01f38f,"Streaming Dec 19, 2017",Attack,action,Dec,'100',
2920ccbd-182e-3490-881f-aa096c20cb70,"Streaming May 13, 2005",Go With Peace Jamil,action,May,'100',
27fca018-89e7-3010-b0f8-f26eb47310a1,"Streaming Jul 26, 2020",Stunt Games,action,Jul,'100',
52350f45-5311-38f6-a1d6-6fbbc49e4ca6,"Streaming May 3, 2018",Zinda Hoon Main,action,May,'100',
42d39f7f-6217-3c98-a9e3-2463a329e612,"Streaming Sep 22, 2016",Brick City,action,Sep,'100',
2db58a95-ea2b-3a1a-8ea5-0aede92a831f,"Streaming Jan 1, 2018",Goli Soda,action,Jan,'100',
6324e02d-1f07-3aaf-b4f4-68b07f026ab8,"Streaming Sep 29, 2020",Political Rowdy,action,Sep,'100',
eb8340fe-6a7e-378d-ae5f-0c3a77e03322,"Streaming Aug 19, 2016",Shaolin vs. Lama,action,Aug,'100',
71392722-dd6d-37d7-97c7-5a2ddcfb7f79,"Streaming Apr 1, 2019",Soldier of War,action,Apr,,
318d7e44-7c32-35fc-9c13-cf0ec963de8c,"Streaming May 23, 2017",Razorblade City,action,May,'100',
db97d08b-0855-3d42-890f-829fddbdb1fa,"Streaming Aug 22, 2022",Top Gun: Maverick,action,Aug,'99', '96'
f3602973-befc-3ef0-aacf-2a8d8a3ff384,"Streaming Jun 22, 2021",Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,action,Jun,'99', '98'
f683dfaa-253f-37b7-8c51-a908260c5003,"Streaming Sep 17, 2020",My Hero Academia: Heroes Rising,action,Sep,'99',
2043ddef-23f7-3838-843e-eadce12d8015,"Streaming Jan 14, 2022",Stoker Hills,action,Jan,'99', '17'
2fdbfa36-2399-3b6d-8b60-2e5b610e6553,"Streaming Mar 8, 2018",Dangerous Game,action,Mar,'99',
4f12e008-d22e-35e3-ae66-0facd40741da,"Streaming Nov 12, 2021",Shang-Chi and the Legend of the Ten Rings,action,Nov,'98', '91'
21681bee-d4ea-3bb9-a97e-c21ab5cfaef5,"Streaming Sep 17, 2020",My Hero Academia: Heroes Rising,action,Sep,'98', '90'
4af56495-98fb-36db-8cdd-1c88e7b672db,"Streaming Sep 21, 2022",Jujutsu Kaisen 0: The Movie,action,Sep,'98', '98'
dc4866a8-130d-3271-8a64-85a5789ec056,"Streaming Dec 13, 2019",Line of Descent,action,Dec,'98',
e7f743b3-d180-3c4d-bea4-3cb73d124edf,"Streaming Aug 29, 2019",Expo,action,Aug,'98',
86a3e927-c4dc-3e4d-a3ac-c6bd4a9b42a9,"Streaming May 23, 2017",Mr. Nookayya,action,May,'98',
4ecba525-0751-3a00-8b8e-c7a10ff0e385,"Streaming Apr 10, 2015",Star Wars: Episode V -- The Empire Strikes Back,action,Apr,'97', '94'
e82e8623-76fa-3a2a-9fc3-1f5ce4fb4768,"Streaming Nov 29, 2011",Seven Samurai,action,Nov,'97', '100'
cd9e4500-3982-3d5d-8a0c-dbf8edb249fd,"Streaming Mar 11, 2017",Silver Circle,action,Mar,'97', '0'
ca3e29b0-acca-3344-bad2-db5017362610,"Streaming Jan 22, 2021",Agent Revelation,action,Jan,'97', '80'
4012da74-0f74-3e48-99d0-0480b0c25794,"Streaming Mar 23, 2018",Shifting Gears,action,Mar,'97',
e79c24ef-2c62-4549-8a62-288d30cd8750,"Streaming Oct 21, 2019",An Hour to Kill,action,Oct,'97',
494821fd-ef32-36f2-bdf9-33eb0b818eb1,"Streaming Feb 20, 2017",Mobile Suit Gundam: The Origin III -- Dawn of Rebellion,action,Feb,'97',
13cd25d7-091e-391c-9343-489ecf778d70,"Streaming Apr 9, 2020",Sadda Haq,action,Apr,'97',
6aa34ef5-f4c0-3e76-a5ea-9b9a1fa9dceb,"Streaming Jan 28, 2014",Raiders of the Lost Ark,action,Jan,'96', '96'
262a9c51-54fb-3a7b-ba38-c8d8042ada8b,"Streaming Mar 31, 2020",Bad Boys for Life,action,Mar,'96', '76'
e2bff218-467b-3595-ae11-c62d690641ad,"Streaming Oct 10, 2016",Star Wars: Episode IV -- A New Hope,action,Oct,'96', '93'
c92fefc6-90b8-3d38-a6fe-125ae7248b8c,"Streaming Jan 21, 2020",Kingdom,action,Jan,'96', '94'
0fa1d138-8e4d-3710-841b-fddf064d416c,"Streaming Dec 18, 2020",Killer Bean Forever,action,Dec,'96',
ecf5f4b6-afb9-31b5-b51a-6f373cd9676a,"Streaming Nov 13, 2020",Soorarai Pottru,action,Nov,'96', '80'
b255fafd-e82d-4f2f-9265-7fd5d98d4f13,"Streaming Oct 30, 2020",The Misadventures of Mistress Maneater,action,Oct,'96',
c0ef116d-7a55-35f3-94b8-96e525dba68a,"Streaming Jan 10, 2020",Primal: Tales of Savagery,action,Jan,'96',
6750db6f-122a-3265-8ff7-f478daf93cda,"Streaming Oct 2, 2018",Betrayed,action,Oct,'96',
a34ccc64-f3fd-371c-872e-77d98a5cda00,"Streaming Jul 31, 2018",Eureka Seven Hi-Evolution 1,action,Jul,'96',
e36aa719-e9dd-3b42-9704-a9f2dbdd4f90,"Streaming Aug 10, 2016",Crooks in Clover,action,Aug,'96',
e30a2b53-f8e0-35f2-a0a2-cac777f4bdc1,"Streaming Aug 27, 2019",Spider-Man: Far From Home,action,Aug,'95', '90'
b1498922-c735-3ac6-8bdf-5d96c0bc6e72,"Streaming Jan 1, 2013",The Professional,action,Jan,'95', '74'
03484964-afc4-3bf0-bb16-b5d67448c047,"Streaming Dec 25, 2019",Ip Man 4: The Finale,action,Dec,'95', '85'
3658915b-a09c-42bb-93a4-a65ab0b54c4d,"Streaming Sep 6, 2019",Article 15,action,Sep,'95', '90'
88c36a61-3147-3a67-9b2e-a2901e59ed6c,"Streaming Aug 10, 2016",Terminator 2: Judgment Day,action,Aug,'95', '93'
15ed49e4-e741-3467-8711-102d85be0493,"Streaming Nov 8, 2016",Infernal Affairs,action,Nov,'95', '94'
efd74904-a209-4efa-910e-fc8bab568fa8,"Streaming Dec 8, 2022",Mad Heidi,action,Dec,'95',
c4198e3f-886c-37b6-ab30-c02269291cbf,"Streaming Nov 24, 2022",Sword Art Online the Movie -Progressive- Aria of a Starless Night,action,Nov,'95', '80'
ad7a57b5-020a-3bc3-ac0d-0d8bfbfcaf58,"Streaming Jul 9, 2019","Sherlock, Jr.",action,Jul,'95', '93'
c296b58f-f309-3d1e-8a08-3df0fc149b6a,"Streaming Jan 14, 2017",Sanjuro,action,Jan,'95', '100'
310b2c3c-88cc-3ca2-93e3-c3bfc810bfb3,"Streaming Jun 2, 2017",All About the Money,action,Jun,'95',
d46d98bb-950d-3cac-a921-6e086b02fa63,"Streaming Mar 29, 2018",Trouble Is My Business,action,Mar,'95', '100'
3798109f-ef10-349c-b2df-1eefb2d93f4c,"Streaming Oct 26, 2018",Glass Jaw,action,Oct,'95',
3501a8fa-7454-3995-b379-a3cf75747a9e,"Streaming Oct 5, 2017",Cops vs. Thugs,action,Oct,'95',
70e5cd12-1b65-37df-b95b-7a5728faf7c1,"Streaming Apr 10, 2015",Star Wars: Episode VI -- Return of the Jedi,action,Apr,'94', '83'
f03e65c8-70e8-34e2-bd3f-1a2efd916f3a,"Streaming Sep 9, 2009",Batman Begins,action,Sep,'94', '84'
fc28be84-81c7-3d80-ad46-388cc687af8b,"Streaming Jan 28, 2014",Indiana Jones and the Last Crusade,action,Jan,'94', '88'
